container_id@container_no@application_id@attempt_id@start_time@end_time@node_name@cpu_alloc@memory_alloc@container_status@duration
1460750106009_0003_01_000059@1_59@1460750106009_0003@1460750106009_0003_000001@20:37:26,115@20:37:37,361@object3@1@1024@ FINISHED@11.246
1460750106009_0003_01_000060@1_60@1460750106009_0003@1460750106009_0003_000001@20:37:26,163@20:37:35,955@object1@1@1024@ FINISHED@9.792
1460750106009_0003_01_000061@1_61@1460750106009_0003@1460750106009_0003_000001@20:37:26,484@20:37:34,014@object6@1@1024@ FINISHED@7.53
1460750106009_0003_01_000062@1_62@1460750106009_0003@1460750106009_0003_000001@20:37:26,487@20:37:35,292@object2@1@1024@ FINISHED@8.805
1460750106009_0003_01_000063@1_63@1460750106009_0003@1460750106009_0003_000001@20:37:26,516@20:37:35,738@object7@1@1024@ FINISHED@9.222
1460750106009_0003_01_000064@1_64@1460750106009_0003@1460750106009_0003_000001@20:37:26,541@20:37:36,217@object8@1@1024@ FINISHED@9.676
1460750106009_0003_01_000065@1_65@1460750106009_0003@1460750106009_0003_000001@20:37:27,085@20:37:36,467@object5@1@1024@ FINISHED@9.382
1460750106009_0003_01_000066@1_66@1460750106009_0003@1460750106009_0003_000001@20:37:27,125@20:37:38,364@object3@1@1024@ FINISHED@11.239
1460750106009_0003_01_000067@1_67@1460750106009_0003@1460750106009_0003_000001@20:37:27,166@20:37:28,946@object1@1@1024@ RELEASED@1.78
1460750106009_0003_01_000068@1_68@1460750106009_0003@1460750106009_0003_000001@20:37:27,487@20:37:28,948@object6@1@1024@ RELEASED@1.461
1460750106009_0003_01_000069@1_69@1460750106009_0003@1460750106009_0003_000001@20:37:27,488@20:37:28,949@object2@1@1024@ RELEASED@1.461
1460750106009_0003_01_000070@1_70@1460750106009_0003@1460750106009_0003_000001@20:37:27,524@20:37:28,952@object7@1@1024@ RELEASED@1.428
1460750106009_0003_01_000071@1_71@1460750106009_0003@1460750106009_0003_000001@20:37:27,547@20:37:28,964@object8@1@1024@ RELEASED@1.417
1460750106009_0003_01_000072@1_72@1460750106009_0003@1460750106009_0003_000001@20:37:27,548@20:37:28,964@object8@1@1024@ RELEASED@1.416
1460750106009_0003_01_000073@1_73@1460750106009_0003@1460750106009_0003_000001@20:37:27,619@20:37:28,964@object2@1@1024@ RELEASED@1.345
1460750106009_0003_01_000074@1_74@1460750106009_0003@1460750106009_0003_000001@20:37:27,954@20:37:30,059@object4@1@1024@ FINISHED@2.105
1460750106009_0003_01_000075@1_75@1460750106009_0003@1460750106009_0003_000001@20:37:28,062@20:37:29,983@object5@1@1024@ RELEASED@1.921
1460750106009_0003_01_000076@1_76@1460750106009_0003@1460750106009_0003_000001@20:37:28,972@20:37:31,035@object1@1@1024@ RELEASED@2.063
1460750106009_0004_01_000001@1_1@1460750106009_0004@1460750106009_0004_000001@20:38:04,439@20:39:17,531@object3@1@2048@ FINISHED@73.092
1460750106009_0004_01_000002@1_2@1460750106009_0004@1460750106009_0004_000001@20:38:12,051@20:38:21,567@object1@1@1024@ FINISHED@9.516
1460750106009_0004_01_000003@1_3@1460750106009_0004@1460750106009_0004_000001@20:38:13,053@20:38:23,623@object1@1@1024@ FINISHED@10.57
1460750106009_0004_01_000004@1_4@1460750106009_0004@1460750106009_0004_000001@20:38:14,056@20:38:26,706@object1@1@1024@ FINISHED@12.65
1460750106009_0004_01_000005@1_5@1460750106009_0004@1460750106009_0004_000001@20:38:15,057@20:38:27,707@object1@1@1024@ FINISHED@12.65
1460750106009_0004_01_000006@1_6@1460750106009_0004@1460750106009_0004_000001@20:38:16,070@20:38:29,580@object1@1@1024@ FINISHED@13.51
1460750106009_0004_01_000007@1_7@1460750106009_0004@1460750106009_0004_000001@20:38:17,074@20:38:29,942@object1@1@1024@ FINISHED@12.868
1460750106009_0004_01_000008@1_8@1460750106009_0004@1460750106009_0004_000001@20:38:18,087@20:38:30,946@object1@1@1024@ FINISHED@12.859
1460750106009_0004_01_000009@1_9@1460750106009_0004@1460750106009_0004_000001@20:38:19,096@20:38:25,446@object6@1@1024@ FINISHED@6.35
1460750106009_0004_01_000010@1_10@1460750106009_0004@1460750106009_0004_000001@20:38:20,098@20:38:26,449@object6@1@1024@ FINISHED@6.351
1460750106009_0004_01_000011@1_11@1460750106009_0004@1460750106009_0004_000001@20:38:20,821@20:38:26,174@object7@1@1024@ FINISHED@5.353
1460750106009_0004_01_000012@1_12@1460750106009_0004@1460750106009_0004_000001@20:38:21,822@20:38:27,176@object7@1@1024@ FINISHED@5.354
1460750106009_0004_01_000013@1_13@1460750106009_0004@1460750106009_0004_000001@20:38:22,712@20:38:28,478@object5@1@1024@ FINISHED@5.766
1460750106009_0004_01_000014@1_14@1460750106009_0004@1460750106009_0004_000001@20:38:23,707@20:38:29,480@object5@1@1024@ FINISHED@5.773
1460750106009_0004_01_000015@1_15@1460750106009_0004@1460750106009_0004_000001@20:38:24,625@20:38:32,868@object1@1@1024@ FINISHED@8.243
